school_name,moe_programme_desc
ANDERSON SERANGOON JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ANGLO-CHINESE JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ANGLO-CHINESE SCHOOL (INDEPENDENT),Engineering and Tech Programme and Scholarship
CATHOLIC JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
DUNMAN HIGH SCHOOL,Engineering and Tech Programme and Scholarship
EUNOIA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
HWA CHONG INSTITUTION,Engineering and Tech Programme and Scholarship
JURONG PIONEER JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
NANYANG JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
NATIONAL JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
RAFFLES INSTITUTION,Engineering and Tech Programme and Scholarship
RIVER VALLEY HIGH SCHOOL,Engineering and Tech Programme and Scholarship
ST. ANDREW'S JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
ST. JOSEPH'S INSTITUTION,Engineering and Tech Programme and Scholarship
TAMPINES MERIDIAN JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
TEMASEK JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
VICTORIA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
YISHUN INNOVA JUNIOR COLLEGE,Engineering and Tech Programme and Scholarship
MILLENNIA INSTITUTE,Engineering and Tech Programme and Scholarship
